State Name,Date Joined,1960 Census Pop.,1970 Census Pop.,1980 Census Pop.,1990 Census Pop.,2000 Census Pop.,2010 Census Pop.,Highest Elevation(ft),Highest Elevation(m),Lowest Elevation (ft),Lowest Elevation (m),Mean Elevation (ft),Mean Elevation (m),Elevation Span (ft),Elevation Span (),2015 Median Household Income,2014 Median Household Income,2013 Median Household Income,2012 Median Household Income,2011 Median Household Income
Alabama,12/14/1819,3266740,3444165,3893888,4040587,4447100,4779736,2413,736,sea level,sea level,500,150,2413,736,44765,42830,42849,41574,41415
Alaska,1/3/1959,226167,300382,401851,550043,626932,710231,20310,6190.5,sea level,sea level,1900,580,20310,6190.5,73355,71583,72237,67712,67825
Arizona,2/14/1912,1302161,1770900,2718215,3665228,5130632,6392017,12637,3852,72,22,4100,1250,12565,3830,51492,50068,48510,47826,46709
Arkansas,6/15/1836,1786272,1923295,2286435,2350725,2673400,2915918,2753,839,55,17,650,200,2698,822,41995,41262,40511,40112,38758
California,9/9/1850,15717204,19953134,23667902,29760021,33871648,37253956,14505,4421,−279 ,−85 ,2900,880,14783,4506,64500,61933,60190,58328,57287
Colorado,8/1/1876,1753947,2207259,2889964,3294394,4301261,5029196,14440,4401.2,3317,1011,6800,2070,11123,3390,63909,61303,58823,56765,55387
Connecticut,1/9/1788,2535234,3031709,3107576,3287116,3405565,3574097,2379,725,sea level,sea level,500,150,2379,725,71346,70048,67098,67276,65753
Delaware,12/7/1787,446292,548104,594338,666168,783600,897934,447,136,sea level,sea level,60,20,447,136,61255,59716,57846,58415,58814
District of Columbia,#N/A,763956,756510,638333,606900,572059,601723,409,125,1,0.3,150,50,408,124,75628,71648,67572,66583,63124
Florida,3/3/1845,4951560,6789443,9746324,12937926,15982378,18801310,345,105,sea level,sea level,100,30,345,105,49426,47463,46036,45040,44299
Georgia,1/2/1788,3943116,4589575,5463105,6478216,8186453,9687653,4784,1458,sea level,sea level,600,180,4784,1458,51244,49321,47829,47209,46007
Hawaii,8/21/1959,632772,768561,964691,1108229,1211537,1360301,13803,4207,sea level,sea level,3030,920,13803,4207,73486,69592,68020,66259,61821
Idaho,7/3/1890,667191,712567,943935,1006749,1293953,1567582,12668,3861,713,217,5000,1520,11954,3644,48275,47861,46783,45489,43341
Illinois,12/3/1818,10081158,11113976,11426518,11430602,12419293,12830632,1235,376,280,85,600,180,955,291,59588,57444,56210,55137,53234
Indiana,12/11/1816,4662498,5193669,5490224,5544159,6080485,6483802,1257,383,320,97,700,210,937,286,50532,49446,47529,46974,46438
Iowa,12/28/1846,2757537,2824376,2913808,2776755,2926324,3046355,1671,509,480,146,1100,340,1191,363,54736,53712,52229,50957,49427
Kansas,1/29/1861,2178611,2246578,2363679,2477574,2688418,2853118,4041,1232,679,207,2000,610,3361,1025,53906,52504,50972,50241,48964
Kentucky,6/1/1792,3038156,3218706,3660777,3685296,4041769,4339367,4145,1263,257,78,750,230,3887,1185,45215,42958,43399,41724,41141
Louisiana,4/30/1812,3257022,3641306,4205900,4219973,4468976,4533372,535,163,−8 ,−2.4 ,100,30,543,165,45727,44555,44164,42944,41734
Maine,3/15/1820,969265,992048,1124660,1227928,1274923,1328361,5270,1606.4,sea level,sea level,600,180,5270,1606.4,51494,49462,46974,46709,46033
Maryland,4/28/1788,3100689,3922399,4216975,4781468,5296486,5773552,3360,1024,sea level,sea level,350,110,3360,1024,75847,73971,72483,71122,70004
Massachusetts,2/6/1788,5148578,5689170,5737037,6016425,6349097,6547629,3489,1063,sea level,sea level,500,150,3489,1063,70628,69160,66768,65339,62859
Michigan,1/26/1837,7823194,8875083,9262078,9295297,9938444,9883640,1979,603,571,174,900,270,1408,429,51084,49847,48273,46859,45981
Minnesota,5/11/1858,3413864,3804971,4075970,4375099,4919479,5303925,2302,701,601,183,1200,370,1700,518,63488,61481,60702,58906,56954
Mississippi,12/10/1817,2178141,2216912,2520638,2573216,2844658,2967297,807,246,sea level,sea level,300,90,807,246,40593,39680,37963,37095,36919
Missouri,8/10/1821,4319813,4676501,4916686,5117073,5595211,5988927,1772,540,230,70,800,240,1542,470,50238,48363,46931,45321,45247
Montana,11/8/1889,674767,694409,786690,799065,902195,989415,12807,3903.5,1804,550,3400,1040,11003,3354,49509,46328,46972,45076,44222
Nebraska,3/1/1867,1411330,1483493,1569825,1578385,1711263,1826341,5427,1654,840,256,2600,790,4587,1398,54996,52686,51440,50723,50296
Nevada,10/31/1864,285278,488738,800493,1201833,1998257,2700551,13147,4007,481,147,5500,1680,12665,3860,52431,51450,51230,49760,48927
New Hampshire,6/21/1788,606921,737681,920610,1109252,1235786,1316470,6288,1917,sea level,sea level,1000,300,6288,1917,70303,66532,64230,63280,62647
New Jersey,12/18/1787,6066782,7168164,7364823,7730188,8414350,8791894,1803,550,sea level,sea level,250,80,1803,550,72222,71919,70165,69667,67458
New Mexico,1/6/1912,951023,1016000,1302894,1515069,1819046,2059179,13167,4013.3,2844,867,5700,1740,10323,3147,45382,44803,43872,42558,41963
New York,7/26/1788,16782304,18236967,17558072,17990455,18976457,19378102,5343,1628.57,sea level,sea level,1000,300,5343,1628.57,60850,58878,57369,56448,55246
North Carolina,11/21/1789,4556155,5082059,5881766,6628637,8049313,9535483,6684,2037,sea level,sea level,700,210,6684,2037,47830,46556,45906,45150,43916
North Dakota,11/2/1889,632446,617761,652717,638800,642200,672591,3508,1069,751,229,1900,580,2757,840,60557,59029,55759,53585,51704
Ohio,3/1/1803,9706397,10652017,10797630,10847115,11353140,11536504,1549,472,455,139,850,260,1094,333,51075,49308,48081,46829,45749
Oklahoma,11/16/1907,2328284,2559229,3025290,3145585,3450654,3751351,4975,1516,289,88,1300,400,4686,1428,48568,47529,45690,44312,43225
Oregon,2/14/1859,1768687,2091385,2633105,2842321,3421399,3831074,11249,3428.8,sea level,sea level,3300,1010,11249,3428.8,54148,51075,50251,49161,46816
Pennsylvania,12/12/1787,11319366,11793909,11863895,11881643,12281054,12702379,3213,979,sea level,sea level,1100,340,3213,979,55702,53234,52007,51230,50228
Rhode Island,5/29/1790,859488,946725,947154,1003464,1048319,1052567,811,247,sea level,sea level,200,60,811,247,58073,54891,55902,54554,53636
South Carolina,5/23/1788,2382594,2590516,3121820,3486703,4012012,4625364,3560,1085,sea level,sea level,350,110,3560,1085,47238,45238,44163,43107,42367
South Dakota,11/2/1889,680514,665507,690768,696004,754844,814180,7244,2208,968,295,2200,670,6276,1913,53017,50979,48947,48362,48321
Tennessee,6/1/1796,3567089,3923687,4591120,4877185,5689283,6346105,6643,2025,178,54,900,270,6466,1971,47275,44361,44297,42764,41693
Texas,12/29/1845,9579677,11196730,14229191,16986510,20851820,25145561,8751,2667,sea level,sea level,1700,520,8751,2667,55653,53035,51704,50740,49392
Utah,1/4/1896,890627,1059273,1461037,1722850,2233169,2763885,13534,4125,2180,664,6100,1860,11354,3461,62912,60922,59770,57049,55869
Vermont,3/4/1791,389881,444330,511456,562758,608827,625741,4395,1340,95,29,1000,300,4300,1311,56990,54166,52578,52977,52776
Virginia,6/25/1788,3966949,4648494,5346818,6187358,7078515,8001024,5729,1746,sea level,sea level,950,290,5729,1746,66262,64902,62666,61741,61882
Washington,11/11/1889,2853214,3409169,4132156,4866692,5894121,6724540,14417,4394,sea level,sea level,1700,520,14417,4394,64129,61366,58405,57573,56835
West Virginia,6/20/1863,1860421,1744237,1949644,1793477,1808344,1852994,4863,1482.1,240,73,1500,460,4623,1409,42019,41059,41253,40196,38482
Wisconsin,5/29/1848,3951777,4417731,4705767,4891769,5363675,5686986,1951,595,579,176,1050,320,1372,418,55638,52622,51467,51059,50395
Wyoming,7/10/1890,330066,332416,469557,453588,493782,563626,13809,4209.1,3101,945,6700,2040,10709,3264,60214,57055,58752,54901,56322